frame	subF	slot	rnti	firstSym	numSym	type	tddMode	retxNum	ccId
3	4	1	0	13	1	2	2	0	0
3	4	2	0	13	1	2	2	0	0
3	4	3	0	13	1	2	2	0	0
3	5	0	1	1	2	0	2	0	0
3	5	0	0	13	1	2	2	0	0
3	5	1	0	13	1	2	2	0	0
3	5	2	0	13	1	2	2	0	0
3	5	3	0	13	1	2	2	0	0
3	6	0	0	13	1	2	2	0	0
3	6	1	0	13	1	2	2	0	0
3	6	2	0	13	1	2	2	0	0
3	6	3	0	13	1	2	2	0	0
3	7	0	0	13	1	2	2	0	0
3	7	1	0	13	1	2	2	0	0
3	7	2	0	13	1	2	2	0	0
3	7	3	0	13	1	2	2	0	0
3	8	0	0	13	1	2	2	0	0
3	8	1	0	13	1	2	2	0	0
3	8	2	0	13	1	2	2	0	0
3	8	3	0	13	1	2	2	0	0
3	9	0	0	13	1	2	2	0	0
3	9	1	0	13	1	2	2	0	0
3	9	2	0	13	1	2	2	0	0
3	9	3	0	13	1	2	2	0	0
4	0	0	0	13	1	2	2	0	0
4	0	1	0	13	1	2	2	0	0
4	0	2	0	13	1	2	2	0	0
4	0	3	0	13	1	2	2	0	0
4	1	0	0	13	1	2	2	0	0
4	1	1	0	13	1	2	2	0	0
4	1	2	0	13	1	2	2	0	0
4	1	3	0	13	1	2	2	0	0
4	2	0	0	13	1	2	2	0	0
4	2	1	0	13	1	2	2	0	0
4	2	2	0	13	1	2	2	0	0
4	2	3	0	13	1	2	2	0	0
4	3	0	0	13	1	2	2	0	0
4	3	1	0	13	1	2	2	0	0
4	3	2	0	13	1	2	2	0	0
4	3	3	0	13	1	2	2	0	0
4	4	0	0	13	1	2	2	0	0
4	4	1	0	13	1	2	2	0	0
4	4	2	0	13	1	2	2	0	0
4	4	3	0	13	1	2	2	0	0
4	5	0	0	13	1	2	2	0	0
4	5	1	0	13	1	2	2	0	0
4	5	2	0	13	1	2	2	0	0
4	5	3	0	13	1	2	2	0	0
4	6	0	0	13	1	2	2	0	0
4	6	1	0	13	1	2	2	0	0
4	6	2	0	13	1	2	2	0	0
4	6	3	0	13	1	2	2	0	0
4	7	0	0	13	1	2	2	0	0
4	7	1	0	13	1	2	2	0	0
4	7	2	0	13	1	2	2	0	0
4	7	3	0	13	1	2	2	0	0
4	8	0	0	13	1	2	2	0	0
4	8	1	0	13	1	2	2	0	0
4	8	2	0	13	1	2	2	0	0
4	8	3	0	13	1	2	2	0	0
4	9	0	0	13	1	2	2	0	0
4	9	1	0	13	1	2	2	0	0
4	9	2	0	13	1	2	2	0	0
4	9	3	0	13	1	2	2	0	0
5	0	0	0	13	1	2	2	0	0
5	0	1	0	13	1	2	2	0	0
5	0	2	0	13	1	2	2	0	0
5	0	3	0	13	1	2	2	0	0
5	1	0	0	13	1	2	2	0	0
5	1	1	0	13	1	2	2	0	0
5	1	2	0	13	1	2	2	0	0
5	1	3	0	13	1	2	2	0	0
5	2	0	0	13	1	2	2	0	0
5	2	1	0	13	1	2	2	0	0
5	2	2	0	13	1	2	2	0	0
5	2	3	0	13	1	2	2	0	0
5	3	0	0	13	1	2	2	0	0
5	3	1	0	13	1	2	2	0	0
5	3	2	0	13	1	2	2	0	0
5	3	3	0	13	1	2	2	0	0
5	4	0	0	13	1	2	2	0	0
5	4	1	0	13	1	2	2	0	0
5	4	2	0	13	1	2	2	0	0
5	4	3	0	13	1	2	2	0	0
5	5	0	0	13	1	2	2	0	0
5	5	1	0	13	1	2	2	0	0
5	5	2	0	13	1	2	2	0	0
5	5	3	0	13	1	2	2	0	0
5	6	0	0	13	1	2	2	0	0
5	6	1	0	13	1	2	2	0	0
5	6	2	0	13	1	2	2	0	0
5	6	3	0	13	1	2	2	0	0
5	7	0	0	13	1	2	2	0	0
5	7	1	0	13	1	2	2	0	0
5	7	2	0	13	1	2	2	0	0
5	7	3	0	13	1	2	2	0	0
5	8	0	0	13	1	2	2	0	0
